name,ip_address,category,status,location,brand
1st Floor,10.8.3.143,switches,unknown,,
1st Floor Server,10.8.3.144,switches,unknown,,
1st Floor WC03 Blkg Lif,10.8.3.206,switches,unknown,,
1st Floor WC04,10.8.3.207,switches,unknown,,
1stFloor FSKTM,10.8.3.132,switches,unknown,,
2nd Floor,10.8.3.145,switches,unknown,,
2nd Floor Mkmal Komputer Siwazah,10.8.3.146,switches,unknown,,
2nd Floor WC05 Blkg Lif,10.8.3.208,switches,unknown,,
2nd Floor WC06,10.8.3.209,switches,unknown,,
2ndFloor FSKTM,10.8.3.133,switches,unknown,,
3rd Floor,10.8.3.147,switches,unknown,,
3rd Floor WC07 Blkg Lif,10.8.3.210,switches,unknown,,
3rd Floor WC08,10.8.3.211,switches,unknown,,
3rdFloor FSKTM,10.8.3.134,switches,unknown,,
4th Floor,10.8.3.148,switches,unknown,,
4th Floor WC09 Blkg Lif,10.8.3.212,switches,unknown,,
4th Floor WC10,10.8.3.213,switches,unknown,,
4thtFloor FSKTM,10.8.3.135,switches,unknown,,
5th Floor,10.8.3.216,switches,unknown,,
5th Floor FSKTM,10.8.3.136,switches,unknown,,
5th Floor WC11 Blkg Lif,10.8.3.214,switches,unknown,,
5th Floor WC12 Blkg Pej PNC,10.8.3.215,switches,unknown,,
6th Floor,10.8.3.217,switches,unknown,,
6th Floor FSKTM,10.8.3.137,switches,unknown,,
7th Floor,10.8.3.218,switches,unknown,,
7th tFloor FSKTM,10.8.3.138,switches,unknown,,
8th Floor,10.8.3.219,switches,unknown,,
A 1stFloor,10.8.3.190,switches,unknown,,
A 2ndFloor,10.8.3.191,switches,unknown,,
A 3rdFloor,10.8.3.192,switches,unknown,,
A 4thdFloor,10.8.3.193,switches,unknown,,
A 5thFloor,10.8.3.194,switches,unknown,,
A Blok Pejabat,10.100.0.4,switches,unknown,,
A Gfloor Floor,10.8.3.189,switches,unknown,,
A LAN & POE,10.8.2.217,switches,unknown,,
A POE L1 (room A2-05),10.8.2.46,switches,unknown,,
A-001,10.9.4.30,switches,unknown,,
A-004-A BK2,10.9.4.7,switches,unknown,,
A-101-02 Studio Pemb. Video & Animasi (3824),10.9.4.4,switches,unknown,,
A-102-02,10.9.4.16,switches,unknown,,
A-109-02,10.9.4.18,switches,unknown,,
A-203 Bilik Pensyarah 3,10.9.4.26,switches,unknown,,
A10 KOKO 1st Flr,10.8.3.239,switches,unknown,,
A10 KOKO Gfloor sw1,10.8.3.237,switches,unknown,,
A10 to A20 Master UBNT,10.60.35.247,switches,unknown,,
A20 to A10 Remote UBNTPing: 10.60.35.248,10.60.35.248,switches,unknown,,
A4 1st Floor,10.8.3.7,switches,unknown,,
A5 PTM,10.8.3.14,switches,unknown,,
A6 Pos Kawalan,10.8.3.167,switches,unknown,,
AP SW BCB 2nd Floor B-201-02,10.9.4.40,switches,unknown,,
ATM & Bust Stop Switch,10.10.10.17,switches,unknown,,
ATM Master UBNT (B3 blkg ict room to ATM)Ping: 10.10.11.24,10.10.11.24,switches,unknown,,
ATM Remote UBNT (ATM to B23)Ping: 10.10.11.25,10.10.11.25,switches,unknown,,
B,10.8.3.86,switches,unknown,,
B 1stFloor,10.8.3.196,switches,unknown,,
B Blok Asrama Perempuan,10.100.0.5,switches,unknown,,
B GndFloor,10.8.3.195,switches,unknown,,
B SW2,10.8.2.64,switches,unknown,,
B-001-B Studio FKAAB GFloor (fpt lama)Ping: 10.9.4.2,10.9.4.2,switches,unknown,,
B-003,10.9.4.6,switches,unknown,,
B-014-A PTM Office Operasi (3812),10.9.4.3,switches,unknown,,
B-014-A PTM Office Operasi Access Switch,10.9.4.8,switches,unknown,,
B-103-01,10.9.4.11,switches,unknown,,
B-104,10.9.4.12,switches,unknown,,
B-105-01,10.9.4.13,switches,unknown,,
B-106-02,10.9.4.14,switches,unknown,,
B2 1st Floor Makmal Bahasa,10.8.3.44,switches,unknown,,
B2 Pej. Antarabangsa,10.8.3.57,switches,unknown,,
Billing Telefon Server Library,10.63.55.207,switches,unknown,,
C,10.8.2.44,switches,unknown,,
C 1StFloor,10.8.3.198,switches,unknown,,
C 2ndFloor,10.8.3.199,switches,unknown,,
C Blok VIP Asrama,10.100.0.6,switches,unknown,,
C GndFloor,10.8.3.197,switches,unknown,,
C2 - Inkubator,10.8.3.178,switches,unknown,,
CCTV Switch For Server Bilik Server Aras 2,10.8.3.65,switches,unknown,,
CCTV Switch For Server Gfloor Bilik Kawalan,10.8.3.66,switches,unknown,,
CORE PUMAS,10.100.0.3,switches,unknown,,
Cafe Access Switch,10.8.2.30,switches,unknown,,
Cafe Main Switch,10.8.2.29,switches,unknown,,
Cambium Master FKAAB(A) to KKP(H),10.8.2.169,switches,unknown,,
Cambium Remote KKP(H) to FKAAB(A)Ping: 10.8.2.170,10.8.2.170,switches,unknown,,
Core SW BCB 2nd Floor B-201-02,10.9.4.252,switches,unknown,,
D,10.8.2.45,switches,unknown,,
D Blok Asrama Lelaki,10.100.0.7,switches,unknown,,
D1-3rdFloor Bilik Pensyarah,10.8.3.92,switches,unknown,,
D1-Gfloor Bilik Pensyarah,10.8.3.80,switches,unknown,,
D10 Unit Awam Lama,10.8.3.64,switches,unknown,,
D11 Kabin Pemandu,10.60.35.208,switches,unknown,,
